,Pollutant,Symbol,State,CAV_adoption,Year,Concern,Total Emmisions,UOM
Pollutant,Nickel,Ni,ND,Bottom,2008.0,Health,76.429371108,LB
Pollutant,Nitrogen Oxides,NOx,ND,Bottom,2008.0,Health,22184.29513207,TON
Pollutant,Nitrous Oxide,N2O,ND,Bottom,2008.0,GHG,206.891447535165,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,ND,Bottom,2008.0,Health,1083.82285084269,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,ND,Bottom,2008.0,Health,889.94789792671,TON
Pollutant,Sulfur Dioxide,SO2,ND,Bottom,2008.0,Health,86.75231667888,TON
Pollutant,Volatile Organic Compounds,VOC,ND,Bottom,2008.0,Health,9486.657720201,TON
Pollutant,Carbon Dioxide,CO2,WY,Bottom,2008.0,GHG,6342214.088933,TON
Pollutant,Carbon Monoxide,CO,WY,Bottom,2008.0,GHG,135412.71932947,TON
Pollutant,Chromium (VI),Cr VI,WY,Bottom,2008.0,Health,77.20961957749999,LB
Pollutant,Manganese,Mn,WY,Bottom,2008.0,Health,45.8592395362,LB
Pollutant,Mercury,Hg,WY,Bottom,2008.0,Health,2.182121092995,LB
Pollutant,Methane,CH4,WY,Bottom,2008.0,GHG,601.63407036192,TON
Pollutant,Nickel,Ni,WY,Bottom,2008.0,Health,93.7382208936,LB
Pollutant,Nitrogen Oxides,NOx,WY,Bottom,2008.0,Health,31295.86820494,TON
Pollutant,Nitrous Oxide,N2O,WY,Bottom,2008.0,GHG,247.12661308078,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,WY,Bottom,2008.0,Health,1321.7873970621,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,WY,Bottom,2008.0,Health,1100.47193490157,TON
Pollutant,Sulfur Dioxide,SO2,WY,Bottom,2008.0,Health,154.55790713069,TON
Pollutant,Volatile Organic Compounds,VOC,WY,Bottom,2008.0,Health,10485.962654276,TON
Pollutant,Carbon Dioxide,CO2,SD,Bottom,2008.0,GHG,5584378.757476,TON
Pollutant,Carbon Monoxide,CO,SD,Bottom,2008.0,GHG,117001.799635007,TON
Pollutant,Chromium (VI),Cr VI,SD,Bottom,2008.0,Health,73.639824975562,LB
Pollutant,Manganese,Mn,SD,Bottom,2008.0,Health,43.3050292252,LB
Pollutant,Mercury,Hg,SD,Bottom,2008.0,Health,2.08234462945718,LB
Pollutant,Methane,CH4,SD,Bottom,2008.0,GHG,561.507045027976,TON
Pollutant,Nickel,Ni,SD,Bottom,2008.0,Health,88.63647382742,LB
Pollutant,Nitrogen Oxides,NOx,SD,Bottom,2008.0,Health,26018.52896271,TON
Pollutant,Nitrous Oxide,N2O,SD,Bottom,2008.0,GHG,235.128563998499,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,SD,Bottom,2008.0,Health,1175.64394348417,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,SD,Bottom,2008.0,Health,964.233790102176,TON
Pollutant,Sulfur Dioxide,SO2,SD,Bottom,2008.0,Health,100.04322034336,TON
Pollutant,Volatile Organic Compounds,VOC,SD,Bottom,2008.0,Health,10299.7440308814,TON
Pollutant,Carbon Dioxide,CO2,VT,Top,2011.0,GHG,3707364.149799,TON
Pollutant,Carbon Monoxide,CO,VT,Top,2011.0,GHG,49036.0875656,TON
Pollutant,Chromium (VI),Cr VI,VT,Top,2011.0,Health,0.1910404716726,LB
Pollutant,Manganese,Mn,VT,Top,2011.0,Health,24.54333544894,LB
Pollutant,Mercury,Hg,VT,Top,2011.0,Health,1.7895516877122,LB
Pollutant,Methane,CH4,VT,Top,2011.0,GHG,228.2308848993,TON
Pollutant,Nickel,Ni,VT,Top,2011.0,Health,30.59961553694,LB
Pollutant,Nitrogen Oxides,NOx,VT,Top,2011.0,Health,10807.53871752,TON
Pollutant,Nitrous Oxide,N2O,VT,Top,2011.0,GHG,130.6489655135,TON
Pollutant,PM10 Primary (Filt + Cond),PM10 Prime,VT,Top,2011.0,Health,705.3815906732,TON
Pollutant,PM2.5 Primary (Filt + Cond),PM2.5 Prime,VT,Top,2011.0,Health,404.8311313297,TON
Pollutant,Sulfur Dioxide,SO2,VT,Top,2011.0,Health,65.44457548712,TON
Pollutant,Volatile Organic Compounds,VOC,VT,Top,2011.0,Health,5304.60128857,TON
Pollutant,Carbon Dioxide,CO2,MA,Top,2011.0,GHG,28238448.4560221,TON
Pollutant,Carbon Monoxide,CO,MA,Top,2011.0,GHG,327615.26754188,TON
Pollutant,Chromium (VI),Cr VI,MA,Top,2011.0,Health,1.439632403322964,LB
Pollutant,Manganese,Mn,MA,Top,2011.0,Health,179.2172829708178,LB
Pollutant,Mercury,Hg,MA,Top,2011.0,Health,13.72596281341604,LB
Pollutant,Methane,CH4,MA,Top,2011.0,GHG,1164.988396689,TON
